RQ Manager 1.2 RQ Study Results
StudyName	TKKO denervation 2d MyoD MyoG analysed.sdm
Operator	

Well	PlateID	Sample	Detector	Task	Ct	delta Rn	delta Ct	Ct Avg	Ct SD	Avg Delta Ct	delta Ct SD	Endo Ct Avg	Endo Ct SD	delta delta Ct	RQ	RQ Min	RQ Max	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	Instrument	Well Status	Rejected	
38		0,01ng Standard	Myod1	Target	36.735703	0.7216054	14.31377			13.478728	0.42324516			0.0	1.0	0.05438522	18.38735	Automatic			Automatic	0.19301754	279002397			
39		0,01ng Standard	18S rRNA	Endogenous Control	22.763723	2.5223742												Automatic			Automatic	0.11422344	279002397			
39		0,01ng Standard	Myod1	Target	35.94509	0.8671894	13.181368			13.478728	0.42324516			0.0	1.0	0.05438522	18.38735	Automatic			Automatic	0.19301754	279002397			
40		0,01ng Standard	18S rRNA	Endogenous Control	22.392895	2.544782												Automatic			Automatic	0.11422344	279002397			
40		0,01ng Standard	Myod1	Target	35.333942	1.0025786	12.941048			13.478728	0.42324516			0.0	1.0	0.05438522	18.38735	Automatic			Automatic	0.19301754	279002397			
41		c +/+ 14701	18S rRNA	Endogenous Control	11.6303625	2.7535946												Automatic			Automatic	0.11422344	279002397			
41		c +/+ 14701	Myod1	Target	27.900156	2.489825	16.269794			16.310434	0.050684545			2.831706	0.14046611	0.09911574	0.19906755	Automatic			Automatic	0.19301754	279002397			
42		c +/+ 14701	18S rRNA	Endogenous Control	11.405134	2.7862256												Automatic			Automatic	0.11422344	279002397			
42		c +/+ 14701	Myod1	Target	27.816313	2.540908	16.411179			16.310434	0.050684545			2.831706	0.14046611	0.09911574	0.19906755	Automatic			Automatic	0.19301754	279002397			
43		c +/+ 14701	18S rRNA	Endogenous Control	11.542412	2.7486074												Automatic			Automatic	0.11422344	279002397			
43		c +/+ 14701	Myod1	Target	27.792742	2.4956136	16.25033			16.310434	0.050684545			2.831706	0.14046611	0.09911574	0.19906755	Automatic			Automatic	0.19301754	279002397			
44		d +/+ 14701	18S rRNA	Endogenous Control	11.820721	2.6999452												Automatic			Automatic	0.11422344	279002397			
44		d +/+ 14701	Myod1	Target	24.705267	2.9948347	12.884546			12.806707	0.041058376			-0.6720209	1.5933033	1.2012388	2.113331	Automatic			Automatic	0.19301754	279002397			
45		d +/+ 14701	18S rRNA	Endogenous Control	12.0483885	2.6789458												Automatic			Automatic	0.11422344	279002397			
45		d +/+ 14701	Myod1	Target	24.838829	3.0466037	12.790441			12.806707	0.041058376			-0.6720209	1.5933033	1.2012388	2.113331	Automatic			Automatic	0.19301754	279002397			
46		d +/+ 14701	18S rRNA	Endogenous Control	12.079845	2.6598253												Automatic			Automatic	0.11422344	279002397			
46		d +/+ 14701	Myod1	Target	24.82498	3.0572534	12.745134			12.806707	0.041058376			-0.6720209	1.5933033	1.2012388	2.113331	Automatic			Automatic	0.19301754	279002397			
50		c -/- 14611	18S rRNA	Endogenous Control	11.923104	2.741542												Automatic			Automatic	0.11422344	279002397			
50		c -/- 14611	Myod1	Target	28.21084	2.3946707	16.287735			16.302366	0.07459538			2.823638	0.14125384	0.084553875	0.23597558	Automatic			Automatic	0.19301754	279002397			
51		c -/- 14611	18S rRNA	Endogenous Control	11.6925535	2.8264766												Automatic			Automatic	0.11422344	279002397			
51		c -/- 14611	Myod1	Target	28.130817	2.431408	16.438263			16.302366	0.07459538			2.823638	0.14125384	0.084553875	0.23597558	Automatic			Automatic	0.19301754	279002397			
52		c -/- 14611	18S rRNA	Endogenous Control	11.797147	2.8356316												Automatic			Automatic	0.11422344	279002397			
52		c -/- 14611	Myod1	Target	27.978249	2.5568957	16.181103			16.302366	0.07459538			2.823638	0.14125384	0.084553875	0.23597558	Automatic			Automatic	0.19301754	279002397			
53		d -/- 14611	18S rRNA	Endogenous Control	12.067112	2.6965322												Automatic			Automatic	0.11422344	279002397			
53		d -/- 14611	Myod1	Target	25.474201	2.8733578	13.407089			13.383452	0.09145412			-0.09527588	1.0682696	0.56943697	2.0040848	Automatic			Automatic	0.19301754	279002397			
54		d -/- 14611	18S rRNA	Endogenous Control	11.877904	2.839546												Automatic			Automatic	0.11422344	279002397			
54		d -/- 14611	Myod1	Target	25.406612	2.862381	13.528708			13.383452	0.09145412			-0.09527588	1.0682696	0.56943697	2.0040848	Automatic			Automatic	0.19301754	279002397			
55		d -/- 14611	18S rRNA	Endogenous Control	12.314067	2.5884428												Automatic			Automatic	0.11422344	279002397			
55		d -/- 14611	Myod1	Target	25.528625	2.8782246	13.214559			13.383452	0.09145412			-0.09527588	1.0682696	0.56943697	2.0040848	Automatic			Automatic	0.19301754	279002397			
56		c -/- 14700	18S rRNA	Endogenous Control	12.472808	2.6475852												Automatic			Automatic	0.11422344	279002397			
56		c -/- 14700	Myod1	Target	28.258392	2.4182546	15.785584			16.240051	0.37486976			2.761323	0.14748877	0.011188444	1.9442323	Automatic			Automatic	0.19301754	279002397			
57		c -/- 14700	18S rRNA	Endogenous Control	12.3011875	2.7533598												Automatic			Automatic	0.11422344	279002397			
57		c -/- 14700	Myod1	Target	28.252064	2.3713398	15.950876			16.240051	0.37486976			2.761323	0.14748877	0.011188444	1.9442323	Automatic			Automatic	0.19301754	279002397			
58		c -/- 14700	18S rRNA	Endogenous Control	11.385425	2.9998631												Automatic			Automatic	0.11422344	279002397			
58		c -/- 14700	Myod1	Target	28.369118	2.394919	16.983692			16.240051	0.37486976			2.761323	0.14748877	0.011188444	1.9442323	Automatic			Automatic	0.19301754	279002397			
59		d -/- 14700	18S rRNA	Endogenous Control	12.040762	2.7187605												Automatic			Automatic	0.11422344	279002397			
59		d -/- 14700	Myod1	Target	25.369574	2.860088	13.328812			13.295443	0.1349295			-0.18328571	1.1354669	0.448796	2.8727646	Automatic			Automatic	0.19301754	279002397			
60		d -/- 14700	18S rRNA	Endogenous Control	12.279502	2.6594458												Automatic			Automatic	0.11422344	279002397			
60		d -/- 14700	Myod1	Target	25.32635	2.8615196	13.046847			13.295443	0.1349295			-0.18328571	1.1354669	0.448796	2.8727646	Automatic			Automatic	0.19301754	279002397			
61		d -/- 14700	18S rRNA	Endogenous Control	11.956846	2.730046												Automatic			Automatic	0.11422344	279002397			
61		d -/- 14700	Myod1	Target	25.467516	2.8556514	13.51067			13.295443	0.1349295			-0.18328571	1.1354669	0.448796	2.8727646	Automatic			Automatic	0.19301754	279002397			
62		c -/- 14702	18S rRNA	Endogenous Control	12.217301	2.7786376												Automatic			Automatic	0.11422344	279002397			
62		c -/- 14702	Myod1	Target	27.985722	2.4830866	15.76842			15.982597	0.34834337			2.503869	0.17630325	0.016051784	1.9364096	Automatic			Automatic	0.19301754	279002397			
63		c -/- 14702	18S rRNA	Endogenous Control	11.268953	3.003458												Automatic			Automatic	0.11422344	279002397			
63		c -/- 14702	Myod1	Target	27.93277	2.5073452	16.663816			15.982597	0.34834337			2.503869	0.17630325	0.016051784	1.9364096	Automatic			Automatic	0.19301754	279002397			
64		c -/- 14702	18S rRNA	Endogenous Control	12.3985195	2.7155683												Automatic			Automatic	0.11422344	279002397			
64		c -/- 14702	Myod1	Target	27.914076	2.476425	15.515556			15.982597	0.34834337			2.503869	0.17630325	0.016051784	1.9364096	Automatic			Automatic	0.19301754	279002397			
65		d -/- 14702	18S rRNA	Endogenous Control	10.583286	2.9335124												Automatic			Automatic	0.11422344	279002397			
65		d -/- 14702	Myod1	Target	24.338703	3.0531917	13.755417			13.11306	0.3231447			-0.3656683	1.2884784	0.13951652	11.899498	Automatic			Automatic	0.19301754	279002397			
66		d -/- 14702	18S rRNA	Endogenous Control	11.533884	2.5965776												Automatic			Automatic	0.11422344	279002397			
66		d -/- 14702	Myod1	Target	24.387419	2.9990284	12.853535			13.11306	0.3231447			-0.3656683	1.2884784	0.13951652	11.899498	Automatic			Automatic	0.19301754	279002397			
67		d -/- 14702	18S rRNA	Endogenous Control	11.735274	2.5819852												Automatic			Automatic	0.11422344	279002397			
67		d -/- 14702	Myod1	Target	24.465504	3.065268	12.730229			13.11306	0.3231447			-0.3656683	1.2884784	0.13951652	11.899498	Automatic			Automatic	0.19301754	279002397			
68		c -/- 14671	18S rRNA	Endogenous Control	12.831441	2.8012555												Automatic			Automatic	0.11422344	279002397			
68		c -/- 14671	Myod1	Target	29.333403	2.3114233	16.50196			16.523315	0.03782362			3.0445871	0.121195905	0.09342934	0.15721451	Automatic			Automatic	0.19301754	279002397			
69		c -/- 14671	18S rRNA	Endogenous Control	12.870607	2.8272974												Automatic			Automatic	0.11422344	279002397			
69		c -/- 14671	Myod1	Target	29.341751	2.325085	16.471144			16.523315	0.03782362			3.0445871	0.121195905	0.09342934	0.15721451	Automatic			Automatic	0.19301754	279002397			
70		c -/- 14671	18S rRNA	Endogenous Control	12.779968	2.8815877												Automatic			Automatic	0.11422344	279002397			
70		c -/- 14671	Myod1	Target	29.376808	2.3453095	16.59684			16.523315	0.03782362			3.0445871	0.121195905	0.09342934	0.15721451	Automatic			Automatic	0.19301754	279002397			
74		d -/- 14671	18S rRNA	Endogenous Control	12.196896	2.7603543												Automatic			Automatic	0.11422344	279002397			
74		d -/- 14671	Myod1	Target	26.02184	2.7999294	13.824944			13.918937	0.099040546			0.44020844	0.7370281	0.372892	1.45675	Automatic			Automatic	0.19301754	279002397			
75		d -/- 14671	18S rRNA	Endogenous Control	11.917217	2.8207698												Automatic			Automatic	0.11422344	279002397			
75		d -/- 14671	Myod1	Target	26.034151	2.7737164	14.116934			13.918937	0.099040546			0.44020844	0.7370281	0.372892	1.45675	Automatic			Automatic	0.19301754	279002397			
76		d -/- 14671	18S rRNA	Endogenous Control	12.293438	2.7093122												Automatic			Automatic	0.11422344	279002397			
76		d -/- 14671	Myod1	Target	26.108372	2.7877762	13.814934			13.918937	0.099040546			0.44020844	0.7370281	0.372892	1.45675	Automatic			Automatic	0.19301754	279002397			
77		c -/- 14816	18S rRNA	Endogenous Control	12.146164	2.7708304												Automatic			Automatic	0.11422344	279002397			
77		c -/- 14816	Myod1	Target	27.675415	2.5406623	15.529251			15.639021	0.06793008			2.1602926	0.2237109	0.14019552	0.3569769	Automatic			Automatic	0.19301754	279002397			
78		c -/- 14816	18S rRNA	Endogenous Control	11.907213	2.835679												Automatic			Automatic	0.11422344	279002397			
78		c -/- 14816	Myod1	Target	27.53179	2.5697048	15.624577			15.639021	0.06793008			2.1602926	0.2237109	0.14019552	0.3569769	Automatic			Automatic	0.19301754	279002397			
79		c -/- 14816	18S rRNA	Endogenous Control	11.725644	2.9353788												Automatic			Automatic	0.11422344	279002397			
79		c -/- 14816	Myod1	Target	27.488878	2.5778797	15.763234			15.639021	0.06793008			2.1602926	0.2237109	0.14019552	0.3569769	Automatic			Automatic	0.19301754	279002397			
80		d -/- 14816	18S rRNA	Endogenous Control	12.398546	2.6485217												Automatic			Automatic	0.11422344	279002397			
80		d -/- 14816	Myod1	Target	25.222664	2.8754992	12.824118			12.698537	0.12052607			-0.7801914	1.7173587	0.74949414	3.935082	Automatic			Automatic	0.19301754	279002397			
81		d -/- 14816	18S rRNA	Endogenous Control	12.395263	2.689331												Automatic			Automatic	0.11422344	279002397			
81		d -/- 14816	Myod1	Target	25.2092	2.86594	12.813937			12.698537	0.12052607			-0.7801914	1.7173587	0.74949414	3.935082	Automatic			Automatic	0.19301754	279002397			
82		d -/- 14816	18S rRNA	Endogenous Control	12.70724	2.6110382												Automatic			Automatic	0.11422344	279002397			
82		d -/- 14816	Myod1	Target	25.164797	2.902062	12.457557			12.698537	0.12052607			-0.7801914	1.7173587	0.74949414	3.935082	Automatic			Automatic	0.19301754	279002397			
83		c +/+ 14673	18S rRNA	Endogenous Control	12.334928	2.7788641												Automatic			Automatic	0.11422344	279002397			
83		c +/+ 14673	Myod1	Target	28.081415	2.4511917	15.746488			15.66124	0.05870015			2.1825113	0.22029194	0.14710303	0.32989493	Automatic			Automatic	0.19301754	279002397			
84		c +/+ 14673	18S rRNA	Endogenous Control	12.564822	2.6245325												Automatic			Automatic	0.11422344	279002397			
84		c +/+ 14673	Myod1	Target	28.113533	2.380145	15.548711			15.66124	0.05870015			2.1825113	0.22029194	0.14710303	0.32989493	Automatic			Automatic	0.19301754	279002397			
85		c +/+ 14673	18S rRNA	Endogenous Control	12.361005	2.7752013												Automatic			Automatic	0.11422344	279002397			
85		c +/+ 14673	Myod1	Target	28.049526	2.43646	15.688521			15.66124	0.05870015			2.1825113	0.22029194	0.14710303	0.32989493	Automatic			Automatic	0.19301754	279002397			
86		d +/+ 14673	18S rRNA	Endogenous Control	12.291269	2.6731167												Automatic			Automatic	0.11422344	279002397			
86		d +/+ 14673	Myod1	Target	25.114305	2.9176378	12.823036			12.903129	0.04010504			-0.5755997	1.4902968	1.1309721	1.9637835	Automatic			Automatic	0.19301754	279002397			
87		d +/+ 14673	18S rRNA	Endogenous Control	12.152587	2.7068644												Automatic			Automatic	0.11422344	279002397			
87		d +/+ 14673	Myod1	Target	25.099527	2.8837411	12.94694			12.903129	0.04010504			-0.5755997	1.4902968	1.1309721	1.9637835	Automatic			Automatic	0.19301754	279002397			
88		d +/+ 14673	18S rRNA	Endogenous Control	12.223031	2.6594913												Automatic			Automatic	0.11422344	279002397			
88		d +/+ 14673	Myod1	Target	25.16244	2.8904614	12.939408			12.903129	0.04010504			-0.5755997	1.4902968	1.1309721	1.9637835	Automatic			Automatic	0.19301754	279002397			
89		c +/+ 14698	18S rRNA	Endogenous Control	12.688301	2.687043												Automatic			Automatic	0.11422344	279002397			
89		c +/+ 14698	Myod1	Target	28.479147	2.4070826	15.790846			15.984555	0.10500934			2.505827	0.17606415	0.085494295	0.36258075	Automatic			Automatic	0.19301754	279002397			
90		c +/+ 14698	18S rRNA	Endogenous Control	12.440489	2.8230455												Automatic			Automatic	0.11422344	279002397			
90		c +/+ 14698	Myod1	Target	28.592173	2.4254184	16.151684			15.984555	0.10500934			2.505827	0.17606415	0.085494295	0.36258075	Automatic			Automatic	0.19301754	279002397			
91		c +/+ 14698	18S rRNA	Endogenous Control	12.466515	2.8148394												Automatic			Automatic	0.11422344	279002397			
91		c +/+ 14698	Myod1	Target	28.47765	2.4132228	16.011135			15.984555	0.10500934			2.505827	0.17606415	0.085494295	0.36258075	Automatic			Automatic	0.19301754	279002397			
92		d +/+ 14698	18S rRNA	Endogenous Control	10.464155	2.904033												Automatic			Automatic	0.11422344	279002397			
92		d +/+ 14698	Myod1	Target	23.984505	3.0961354	13.5203495			13.232718	0.34459212			-0.24600983	1.1859226	0.11079672	12.693628	Automatic			Automatic	0.19301754	279002397			
93		d +/+ 14698	18S rRNA	Endogenous Control	10.43802	2.8662465												Automatic			Automatic	0.11422344	279002397			
93		d +/+ 14698	Myod1	Target	24.06931	3.037609	13.6312895			13.232718	0.34459212			-0.24600983	1.1859226	0.11079672	12.693628	Automatic			Automatic	0.19301754	279002397			
94		d +/+ 14698	18S rRNA	Endogenous Control	11.739516	2.2481608												Automatic			Automatic	0.11422344	279002397			
94		d +/+ 14698	Myod1	Target	24.286034	2.765609	12.546517			13.232718	0.34459212			-0.24600983	1.1859226	0.11079672	12.693628	Automatic			Automatic	0.19301754	279002397			
98		c +/+ 14668	18S rRNA	Endogenous Control	12.715287	3.0241446												Automatic			Automatic	0.11422344	279002397			
98		c +/+ 14668	Myod1	Target	28.585964	2.5339992	15.870677			16.071102	0.13904706			2.5923738	0.16581267	0.063707456	0.43156397	Automatic			Automatic	0.19301754	279002397			
99		c +/+ 14668	18S rRNA	Endogenous Control	12.445422	2.9382603												Automatic			Automatic	0.11422344	279002397			
99		c +/+ 14668	Myod1	Target	28.783695	2.4279125	16.338272			16.071102	0.13904706			2.5923738	0.16581267	0.063707456	0.43156397	Automatic			Automatic	0.19301754	279002397			
100		c +/+ 14668	18S rRNA	Endogenous Control	12.691198	3.0166554												Automatic			Automatic	0.11422344	279002397			
100		c +/+ 14668	Myod1	Target	28.695559	2.4758031	16.00436			16.071102	0.13904706			2.5923738	0.16581267	0.063707456	0.43156397	Automatic			Automatic	0.19301754	279002397			
101		d +/+ 14668	18S rRNA	Endogenous Control	11.820605	3.022876												Automatic			Automatic	0.11422344	279002397			
101		d +/+ 14668	Myod1	Target	25.020063	3.1405203	13.199458			13.163807	0.07332401			-0.31492138	1.2439438	0.75115997	2.060009	Automatic			Automatic	0.19301754	279002397			
102		d +/+ 14668	18S rRNA	Endogenous Control	12.029882	2.8579097												Automatic			Automatic	0.11422344	279002397			
102		d +/+ 14668	Myod1	Target	25.052673	3.1182775	13.022791			13.163807	0.07332401			-0.31492138	1.2439438	0.75115997	2.060009	Automatic			Automatic	0.19301754	279002397			
103		d +/+ 14668	18S rRNA	Endogenous Control	11.706093	2.9396243												Automatic			Automatic	0.11422344	279002397			
103		d +/+ 14668	Myod1	Target	24.975266	3.0723603	13.269173			13.163807	0.07332401			-0.31492138	1.2439438	0.75115997	2.060009	Automatic			Automatic	0.19301754	279002397			
104		c +/+ 14807	18S rRNA	Endogenous Control	11.673963	2.9920115												Automatic			Automatic	0.11422344	279002397			
104		c +/+ 14807	Myod1	Target	27.920023	2.6079981	16.24606			16.570093	0.3192064			3.0913649	0.11732929	0.013053332	1.0546091	Automatic			Automatic	0.19301754	279002397			
105		c +/+ 14807	18S rRNA	Endogenous Control	10.84601	3.2880154												Automatic			Automatic	0.11422344	279002397			
105		c +/+ 14807	Myod1	Target	28.054491	2.5817575	17.20848			16.570093	0.3192064			3.0913649	0.11732929	0.013053332	1.0546091	Automatic			Automatic	0.19301754	279002397			
106		c +/+ 14807	18S rRNA	Endogenous Control	11.740878	3.0527208												Automatic			Automatic	0.11422344	279002397			
106		c +/+ 14807	Myod1	Target	27.996614	2.5608795	16.255737			16.570093	0.3192064			3.0913649	0.11732929	0.013053332	1.0546091	Automatic			Automatic	0.19301754	279002397			
107		d +/+ 14807	18S rRNA	Endogenous Control	12.3533535	2.874128												Automatic			Automatic	0.11422344	279002397			
107		d +/+ 14807	Myod1	Target	25.211094	3.0282934	12.85774			12.989343	0.06581134			-0.4893856	1.4038469	0.8926821	2.2077134	Automatic			Automatic	0.19301754	279002397			
108		d +/+ 14807	18S rRNA	Endogenous Control	12.198085	2.8669448												Automatic			Automatic	0.11422344	279002397			
108		d +/+ 14807	Myod1	Target	25.255236	3.0061307	13.057151			12.989343	0.06581134			-0.4893856	1.4038469	0.8926821	2.2077134	Automatic			Automatic	0.19301754	279002397			
109		d +/+ 14807	18S rRNA	Endogenous Control	12.246256	2.8393488												Automatic			Automatic	0.11422344	279002397			
109		d +/+ 14807	Myod1	Target	25.299393	3.028824	13.053137			12.989343	0.06581134			-0.4893856	1.4038469	0.8926821	2.2077134	Automatic			Automatic	0.19301754	279002397			
110		NTC	18S rRNA	Endogenous Control	27.859749	2.1955156												Automatic			Automatic	0.11422344	279002397			
110		NTC	Myod1	Target	Undetermined	0.0129980445	12.140251			12.137467	0.03676706			-1.3412609	2.5337267	1.9674863	3.2629304	Automatic			Automatic	0.19301754	279002397			
111		NTC	18S rRNA	Endogenous Control	27.800287	2.1987386												Automatic			Automatic	0.11422344	279002397			
111		NTC	Myod1	Target	Undetermined	-4.942061E-4	12.199713			12.137467	0.03676706			-1.3412609	2.5337267	1.9674863	3.2629304	Automatic			Automatic	0.19301754	279002397			
112		NTC	18S rRNA	Endogenous Control	27.92756	2.1997912												Automatic			Automatic	0.11422344	279002397			
112		NTC	Myod1	Target	Undetermined	0.016679782	12.072439			12.137467	0.03676706			-1.3412609	2.5337267	1.9674863	3.2629304	Automatic			Automatic	0.19301754	279002397			
113		wasser control ntc	18S rRNA	Endogenous Control	30.948347	1.8875046												Automatic			Automatic	0.11422344	279002397			
113		wasser control ntc	Myod1	Target	Undetermined	0.0023265698	9.051653			9.49996	0.22513077			-3.9787683	15.766257	3.3505106	74.19015	Automatic			Automatic	0.19301754	279002397			
114		wasser control ntc	18S rRNA	Endogenous Control	30.31218	2.0190394												Automatic			Automatic	0.11422344	279002397			
114		wasser control ntc	Myod1	Target	Undetermined	-0.009510305	9.68782			9.49996	0.22513077			-3.9787683	15.766257	3.3505106	74.19015	Automatic			Automatic	0.19301754	279002397			
115		wasser control ntc	18S rRNA	Endogenous Control	30.239594	2.0462282												Automatic			Automatic	0.11422344	279002397			
115		wasser control ntc	Myod1	Target	Undetermined	0.008798798	9.7604065			9.49996	0.22513077			-3.9787683	15.766257	3.3505106	74.19015	Automatic			Automatic	0.19301754	279002397			
122		20 ng standard	18S rRNA	Endogenous Control	11.1403475	2.9974518												Automatic			Automatic	0.11422344	279002397			
122		20 ng standard	Myog	Target	23.905672	4.602591	12.765325			12.897123	0.13347866			0.036025047	0.9753385	0.38937178	2.4431283	Automatic			Automatic	0.61882204	279002397			
123		20 ng standard	18S rRNA	Endogenous Control	11.156059	2.93576												Automatic			Automatic	0.11422344	279002397			
123		20 ng standard	Myog	Target	23.918032	4.6011457	12.761972			12.897123	0.13347866			0.036025047	0.9753385	0.38937178	2.4431283	Automatic			Automatic	0.61882204	279002397			
124		20 ng standard	18S rRNA	Endogenous Control	10.741627	3.0981133												Automatic			Automatic	0.11422344	279002397			
124		20 ng standard	Myog	Target	23.9057	4.607759	13.164074			12.897123	0.13347866			0.036025047	0.9753385	0.38937178	2.4431283	Automatic			Automatic	0.61882204	279002397			
125		10 ng Standard	18S rRNA	Endogenous Control	12.0219755	2.9136946												Automatic			Automatic	0.11422344	279002397			
125		10 ng Standard	Myog	Target	24.955027	4.534346	12.933051			13.0026	0.060172535			0.14150143	0.9065752	0.5992773	1.3714495	Automatic			Automatic	0.61882204	279002397			
126		10 ng Standard	18S rRNA	Endogenous Control	11.850215	2.964076												Automatic			Automatic	0.11422344	279002397			
126		10 ng Standard	Myog	Target	24.972645	4.5339246	13.12243			13.0026	0.060172535			0.14150143	0.9065752	0.5992773	1.3714495	Automatic			Automatic	0.61882204	279002397			
127		10 ng Standard	18S rRNA	Endogenous Control	12.026792	2.9864576												Automatic			Automatic	0.11422344	279002397			
127		10 ng Standard	Myog	Target	24.97911	4.5575166	12.952319			13.0026	0.060172535			0.14150143	0.9065752	0.5992773	1.3714495	Automatic			Automatic	0.61882204	279002397			
128		1ng standard	18S rRNA	Endogenous Control	15.394679	3.0278618												Automatic			Automatic	0.11422344	279002397			
128		1ng standard	Myog	Target	28.267149	4.4700494	12.87247			13.014392	0.08387316			0.15329361	0.8991953	0.5049731	1.6011786	Automatic			Automatic	0.61882204	279002397			
129		1ng standard	18S rRNA	Endogenous Control	15.279331	2.9905176												Automatic			Automatic	0.11422344	279002397			
129		1ng standard	Myog	Target	28.28724	4.449814	13.007908			13.014392	0.08387316			0.15329361	0.8991953	0.5049731	1.6011786	Automatic			Automatic	0.61882204	279002397			
130		1ng standard	18S rRNA	Endogenous Control	15.185831	3.042115												Automatic			Automatic	0.11422344	279002397			
130		1ng standard	Myog	Target	28.348629	4.442055	13.162798			13.014392	0.08387316			0.15329361	0.8991953	0.5049731	1.6011786	Automatic			Automatic	0.61882204	279002397			
131		0,1 ng Standard	18S rRNA	Endogenous Control	18.737883	2.878065												Automatic			Automatic	0.11422344	279002397			
131		0,1 ng Standard	Myog	Target	31.708372	3.995959	12.9704895			12.824921	0.07470906			-0.036177635	1.0253935	0.61331576	1.71434	Automatic			Automatic	0.61882204	279002397			
132		0,1 ng Standard	18S rRNA	Endogenous Control	18.810171	2.8455374												Automatic			Automatic	0.11422344	279002397			
132		0,1 ng Standard	Myog	Target	31.59149	4.019315	12.781319			12.824921	0.07470906			-0.036177635	1.0253935	0.61331576	1.71434	Automatic			Automatic	0.61882204	279002397			
133		0,1 ng Standard	18S rRNA	Endogenous Control	18.779833	2.846121												Automatic			Automatic	0.11422344	279002397			
