RQ Manager 1.2 RQ Study Results																									
StudyName	denervation study 3 days Murf Atrogin Hdac.sdm																								
Operator																									
																									
Well	PlateID	Sample	Detector	Task	Ct	delta Rn	delta Ct	Ct Avg	Ct SD	Avg Delta Ct	delta Ct SD	Endo Ct Avg	Endo Ct SD	delta delta Ct	RQ	RQ Min	RQ Max	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	Instrument	Well Status	Rejected
63			18S rRNA	Endogenous Control	12.359183	2.6992118												Automatic			Automatic	0.118565686	279002397		
63			Atrogin 1	Target	25.057058	3.4841752	12.697875			12.927058	0.118659936			0.46182823	0.7260656	0.3209656	1.642454	Automatic			Automatic	0.041863948	279002397		
64			18S rRNA	Endogenous Control	11.937909	2.7361753												Automatic			Automatic	0.118565686	279002397		
64			Atrogin 1	Target	24.926205	3.4458835	12.988296			12.927058	0.118659936			0.46182823	0.7260656	0.3209656	1.642454	Automatic			Automatic	0.041863948	279002397		
65			18S rRNA	Endogenous Control	11.975336	2.542223												Automatic			Automatic	0.118565686	279002397		
65			Atrogin 1	Target	22.041874	3.6685743	10.066538			10.073878	0.022974959			-2.3913517	5.2464867	4.4794726	6.144836	Automatic			Automatic	0.041863948	279002397		
66			18S rRNA	Endogenous Control	11.855558	2.629951												Automatic			Automatic	0.118565686	279002397		
66			Atrogin 1	Target	21.97239	3.6359897	10.116831			10.073878	0.022974959			-2.3913517	5.2464867	4.4794726	6.144836	Automatic			Automatic	0.041863948	279002397		
67			18S rRNA	Endogenous Control	11.995022	2.571623												Automatic			Automatic	0.118565686	279002397		
67			Atrogin 1	Target	22.033287	3.6703851	10.038265			10.073878	0.022974959			-2.3913517	5.2464867	4.4794726	6.144836	Automatic			Automatic	0.041863948	279002397		
68			18S rRNA	Endogenous Control	11.857971	2.7574258												Automatic			Automatic	0.118565686	279002397		
68			Atrogin 1	Target	24.136652	3.5842822	12.278681			12.412116	0.13387689			-0.053113937	1.0375018	0.4130553	2.605971	Automatic			Automatic	0.041863948	279002397		
69			18S rRNA	Endogenous Control	11.96506	2.7427344												Automatic			Automatic	0.118565686	279002397		
69			Atrogin 1	Target	24.242859	3.587596	12.277799			12.412116	0.13387689			-0.053113937	1.0375018	0.4130553	2.605971	Automatic			Automatic	0.041863948	279002397		
70			18S rRNA	Endogenous Control	11.861102	2.7779179												Automatic			Automatic	0.118565686	279002397		
70			Atrogin 1	Target	24.540972	3.4999778	12.67987			12.412116	0.13387689			-0.053113937	1.0375018	0.4130553	2.605971	Automatic			Automatic	0.041863948	279002397		
74			18S rRNA	Endogenous Control	10.380322	2.886902												Automatic			Automatic	0.118565686	279002397		
74			Atrogin 1	Target	21.053188	3.6397061	10.672866			10.149991	0.40328816			-2.315239	4.976871	0.31050047	79.772	Automatic			Automatic	0.041863948	279002397		
75			18S rRNA	Endogenous Control	10.288052	2.9143205												Automatic			Automatic	0.118565686	279002397		
75			Atrogin 1	Target	20.708466	3.612414	10.420414			10.149991	0.40328816			-2.315239	4.976871	0.31050047	79.772	Automatic			Automatic	0.041863948	279002397		
76			18S rRNA	Endogenous Control	11.104191	2.6790028												Automatic			Automatic	0.118565686	279002397		
76			Atrogin 1	Target	20.460884	3.68295	9.356693			10.149991	0.40328816			-2.315239	4.976871	0.31050047	79.772	Automatic			Automatic	0.041863948	279002397		
77			18S rRNA	Endogenous Control	12.29756	2.8705258												Automatic			Automatic	0.118565686	279002397		
77			Atrogin 1	Target	25.265848	3.3793342	12.968288			12.900394	0.04100443			0.43516445	0.7396094	0.55782056	0.9806417	Automatic			Automatic	0.041863948	279002397		
78			18S rRNA	Endogenous Control	12.240181	2.8852594												Automatic			Automatic	0.118565686	279002397		
78			Atrogin 1	Target	25.146463	3.3414066	12.906282			12.900394	0.04100443			0.43516445	0.7396094	0.55782056	0.9806417	Automatic			Automatic	0.041863948	279002397		
79			18S rRNA	Endogenous Control	12.055383	2.9512336												Automatic			Automatic	0.118565686	279002397		
79			Atrogin 1	Target	24.881994	3.3469324	12.8266115			12.900394	0.04100443			0.43516445	0.7396094	0.55782056	0.9806417	Automatic			Automatic	0.041863948	279002397		
80			18S rRNA	Endogenous Control	12.065846	2.6560824												Automatic			Automatic	0.118565686	279002397		
80			Atrogin 1	Target	22.419937	3.5804565	10.354091			10.692418	0.20576762			-1.7728119	3.4171934	0.8296649	14.074612	Automatic			Automatic	0.041863948	279002397		
81			18S rRNA	Endogenous Control	11.940402	2.678651												Automatic			Automatic	0.118565686	279002397		
81			Atrogin 1	Target	23.004892	3.5259435	11.06449			10.692418	0.20576762			-1.7728119	3.4171934	0.8296649	14.074612	Automatic			Automatic	0.041863948	279002397		
82			18S rRNA	Endogenous Control	11.922807	2.7589695												Automatic			Automatic	0.118565686	279002397		
82			Atrogin 1	Target	22.58148	3.5928507	10.658673			10.692418	0.20576762			-1.7728119	3.4171934	0.8296649	14.074612	Automatic			Automatic	0.041863948	279002397		
83			18S rRNA	Endogenous Control	11.958115	2.655666												Automatic			Automatic	0.118565686	279002397		
83			Atrogin 1	Target	23.229149	3.545837	11.271034			11.58027	0.16609944			-0.8849602	1.8467137	0.5890448	5.78963	Automatic			Automatic	0.041863948	279002397		
84			18S rRNA	Endogenous Control	11.7150955	2.7973995												Automatic			Automatic	0.118565686	279002397		
84			Atrogin 1	Target	23.555088	3.5562122	11.839993			11.58027	0.16609944			-0.8849602	1.8467137	0.5890448	5.78963	Automatic			Automatic	0.041863948	279002397		
85			18S rRNA	Endogenous Control	11.914606	2.632262												Automatic			Automatic	0.118565686	279002397		
85			Atrogin 1	Target	23.54439	3.5325406	11.629784			11.58027	0.16609944			-0.8849602	1.8467137	0.5890448	5.78963	Automatic			Automatic	0.041863948	279002397		
86			18S rRNA	Endogenous Control	12.122861	2.7107441												Automatic			Automatic	0.118565686	279002397		
86			Atrogin 1	Target	22.682285	3.5626001	10.559424			10.596849	0.024801647			-1.8683805	3.6512249	3.0785012	4.330498	Automatic			Automatic	0.041863948	279002397		
87			18S rRNA	Endogenous Control	12.328	2.609846												Automatic			Automatic	0.118565686	279002397		
87			Atrogin 1	Target	22.971756	3.5893457	10.643756			10.596849	0.024801647			-1.8683805	3.6512249	3.0785012	4.330498	Automatic			Automatic	0.041863948	279002397		
88			18S rRNA	Endogenous Control	12.214429	2.6278987												Automatic			Automatic	0.118565686	279002397		
88			Atrogin 1	Target	22.801798	3.5977554	10.587369			10.596849	0.024801647			-1.8683805	3.6512249	3.0785012	4.330498	Automatic			Automatic	0.041863948	279002397		
89			18S rRNA	Endogenous Control	12.103792	2.7354836												Automatic			Automatic	0.118565686	279002397		
89			Atrogin 1	Target	24.651793	3.4228816	12.548			12.269039	0.15291467			-0.19619083	1.1456695	0.4001289	3.280339	Automatic			Automatic	0.041863948	279002397		
90			18S rRNA	Endogenous Control	12.206893	2.77538												Automatic			Automatic	0.118565686	279002397		
90			Atrogin 1	Target	24.445005	3.554686	12.238112			12.269039	0.15291467			-0.19619083	1.1456695	0.4001289	3.280339	Automatic			Automatic	0.041863948	279002397		
91			18S rRNA	Endogenous Control	12.440771	2.654988												Automatic			Automatic	0.118565686	279002397		
91			Atrogin 1	Target	24.461775	3.5126836	12.021004			12.269039	0.15291467			-0.19619083	1.1456695	0.4001289	3.280339	Automatic			Automatic	0.041863948	279002397		
92			18S rRNA	Endogenous Control	12.05563	2.6667902												Automatic			Automatic	0.118565686	279002397		
92			Atrogin 1	Target	22.228006	3.6546276	10.172377			9.961537	0.14271317			-2.5036926	5.671352	2.1247408	15.137954	Automatic			Automatic	0.041863948	279002397		
93			18S rRNA	Endogenous Control	12.309635	2.6205158												Automatic			Automatic	0.118565686	279002397		
93			Atrogin 1	Target	22.33237	3.671073	10.022736			9.961537	0.14271317			-2.5036926	5.671352	2.1247408	15.137954	Automatic			Automatic	0.041863948	279002397		
94			18S rRNA	Endogenous Control	12.274136	2.789764												Automatic			Automatic	0.118565686	279002397		
94			Atrogin 1	Target	21.963636	3.9103181	9.689501			9.961537	0.14271317			-2.5036926	5.671352	2.1247408	15.137954	Automatic			Automatic	0.041863948	279002397		
98			18S rRNA	Endogenous Control	11.965367	2.9967835												Automatic			Automatic	0.118565686	279002397		
98			Atrogin 1	Target	23.924019	3.4353898	11.958652			11.925974	0.051934596			-0.5392561	1.453223	1.0166432	2.0772846	Automatic			Automatic	0.041863948	279002397		
99			18S rRNA	Endogenous Control	12.116208	2.892136												Automatic			Automatic	0.118565686	279002397		
99			Atrogin 1	Target	24.111229	3.5360978	11.995021			11.925974	0.051934596			-0.5392561	1.453223	1.0166432	2.0772846	Automatic			Automatic	0.041863948	279002397		
100			18S rRNA	Endogenous Control	12.155142	2.953186												Automatic			Automatic	0.118565686	279002397		
100			Atrogin 1	Target	23.979391	3.5021853	11.824249			11.925974	0.051934596			-0.5392561	1.453223	1.0166432	2.0772846	Automatic			Automatic	0.041863948	279002397		
101			18S rRNA	Endogenous Control	10.9971695	2.6218371												Automatic			Automatic	0.118565686	279002397		
101			Atrogin 1	Target	19.938213	3.7536018	8.941044			9.296677	0.19253327			-3.1685534	8.991447	2.3911273	33.810883	Automatic			Automatic	0.041863948	279002397		
102			18S rRNA	Endogenous Control	10.620042	2.8907378												Automatic			Automatic	0.118565686	279002397		
102			Atrogin 1	Target	20.222406	3.8457804	9.602365			9.296677	0.19253327			-3.1685534	8.991447	2.3911273	33.810883	Automatic			Automatic	0.041863948	279002397		
103			18S rRNA	Endogenous Control	10.739433	2.7769194												Automatic			Automatic	0.118565686	279002397		
103			Atrogin 1	Target	20.086056	3.8438811	9.346622			9.296677	0.19253327			-3.1685534	8.991447	2.3911273	33.810883	Automatic			Automatic	0.041863948	279002397		
104			18S rRNA	Endogenous Control	12.448194	2.903355												Automatic			Automatic	0.118565686	279002397		
104			Atrogin 1	Target	24.817822	3.5343833	12.369628			12.599636	0.11664773			0.13440609	0.9110448	0.40835154	2.032569	Automatic			Automatic	0.041863948	279002397		
105			18S rRNA	Endogenous Control	12.130904	2.9983037												Automatic			Automatic	0.118565686	279002397		
105			Atrogin 1	Target	24.811745	3.4378884	12.6808405			12.599636	0.11664773			0.13440609	0.9110448	0.40835154	2.032569	Automatic			Automatic	0.041863948	279002397		
106			18S rRNA	Endogenous Control	12.059566	3.0975406												Automatic			Automatic	0.118565686	279002397		
106			Atrogin 1	Target	24.808004	3.4877925	12.748439			12.599636	0.11664773			0.13440609	0.9110448	0.40835154	2.032569	Automatic			Automatic	0.041863948	279002397		
107			18S rRNA	Endogenous Control	11.602219	2.7524722												Automatic			Automatic	0.118565686	279002397		
107			Atrogin 1	Target	21.759151	3.684708	10.156933			10.132071	0.041251995			-2.3331594	5.039077	3.7940533	6.6926565	Automatic			Automatic	0.041863948	279002397		
108			18S rRNA	Endogenous Control	11.45868	2.8488176												Automatic			Automatic	0.118565686	279002397		
108			Atrogin 1	Target	21.646448	3.7462375	10.187768			10.132071	0.041251995			-2.3331594	5.039077	3.7940533	6.6926565	Automatic			Automatic	0.041863948	279002397		
109			18S rRNA	Endogenous Control	11.682989	2.8172932												Automatic			Automatic	0.118565686	279002397		
109			Atrogin 1	Target	21.734499	3.7733467	10.05151			10.132071	0.041251995			-2.3331594	5.039077	3.7940533	6.6926565	Automatic			Automatic	0.041863948	279002397		
110			18S rRNA	Endogenous Control	11.591497	2.9284174												Automatic			Automatic	0.118565686	279002397		
110			Atrogin 1	Target	23.649015	3.613806	12.057518			12.254352	0.18402132			-0.21087837	1.1573926	0.32635084	4.1046553	Automatic			Automatic	0.041863948	279002397		
111			18S rRNA	Endogenous Control	11.063993	3.165708												Automatic			Automatic	0.118565686	279002397		
111			Atrogin 1	Target	23.686083	3.6268415	12.622089			12.254352	0.18402132			-0.21087837	1.1573926	0.32635084	4.1046553	Automatic			Automatic	0.041863948	279002397		
112			18S rRNA	Endogenous Control	11.637405	2.8789423												Automatic			Automatic	0.118565686	279002397		
112			Atrogin 1	Target	23.720852	3.6985073	12.0834465			12.254352	0.18402132			-0.21087837	1.1573926	0.32635084	4.1046553	Automatic			Automatic	0.041863948	279002397		
113			18S rRNA	Endogenous Control	11.75046	2.7912664												Automatic			Automatic	0.118565686	279002397		
113			Atrogin 1	Target	21.726286	3.803071	9.975826			10.172163	0.10412112			-2.293067	4.900969	2.3944283	10.031411	Automatic			Automatic	0.041863948	279002397		
114			18S rRNA	Endogenous Control	11.751449	2.8787684												Automatic			Automatic	0.118565686	279002397		
114			Atrogin 1	Target	21.961676	3.8682802	10.210227			10.172163	0.10412112			-2.293067	4.900969	2.3944283	10.031411	Automatic			Automatic	0.041863948	279002397		
115			18S rRNA	Endogenous Control	11.697213	2.733174												Automatic			Automatic	0.118565686	279002397		
115			Atrogin 1	Target	22.027649	3.7476935	10.330436			10.172163	0.10412112			-2.293067	4.900969	2.3944283	10.031411	Automatic			Automatic	0.041863948	279002397		
116			18S rRNA	Endogenous Control	24.415434	2.3792982												Automatic			Automatic	0.118565686	279002397		
116			Atrogin 1	Target	34.841557	1.4833454	10.426123			10.565709	0.16849281			-1.8995209	3.7308927	1.1706065	11.890896	Automatic			Automatic	0.041863948	279002397		
117			18S rRNA	Endogenous Control	24.354597	2.4691396												Automatic			Automatic	0.118565686	279002397		
117			Atrogin 1	Target	34.724476	1.4773666	10.369879			10.565709	0.16849281			-1.8995209	3.7308927	1.1706065	11.890896	Automatic			Automatic	0.041863948	279002397		
118			18S rRNA	Endogenous Control	24.572025	2.4235086												Automatic			Automatic	0.118565686	279002397		
118			Atrogin 1	Target	35.473152	1.1357551	10.901127			10.565709	0.16849281			-1.8995209	3.7308927	1.1706065	11.890896	Automatic			Automatic	0.041863948	279002397		
122			18S rRNA	Endogenous Control	9.865272	3.824113												Automatic			Automatic	0.118565686	279002397		
122			HDAC 4	Target	23.808064	3.2794993	13.942792			14.073952	0.09763476			-1.7398014	3.339892	1.7062058	6.537826	Automatic			Automatic	0.05448952	279002397		
123			18S rRNA	Endogenous Control	9.942887	3.772013												Automatic			Automatic	0.118565686	279002397		
123			HDAC 4	Target	23.957138	3.309249	14.014251			14.073952	0.09763476			-1.7398014	3.339892	1.7062058	6.537826	Automatic			Automatic	0.05448952	279002397		
124			18S rRNA	Endogenous Control	9.893039	3.7973275												Automatic			Automatic	0.118565686	279002397		
124			HDAC 4	Target	24.157852	3.3194017	14.264813			14.073952	0.09763476			-1.7398014	3.339892	1.7062058	6.537826	Automatic			Automatic	0.05448952	279002397		
125			18S rRNA	Endogenous Control	11.688963	3.4154658												Automatic			Automatic	0.118565686	279002397		
125			HDAC 4	Target	24.84839	3.097172	13.159428			12.970496	0.099594854			-2.843257	7.1763835	3.617	14.238452	Automatic			Automatic	0.05448952	279002397		
126			18S rRNA	Endogenous Control	11.888997	3.3367546												Automatic			Automatic	0.118565686	279002397		
126			HDAC 4	Target	24.710382	3.0957701	12.821385			12.970496	0.099594854			-2.843257	7.1763835	3.617	14.238452	Automatic			Automatic	0.05448952	279002397		
127			18S rRNA	Endogenous Control	11.857124	3.3256204												Automatic			Automatic	0.118565686	279002397		
127			HDAC 4	Target	24.7878	3.0264862	12.9306755			12.970496	0.099594854			-2.843257	7.1763835	3.617	14.238452	Automatic			Automatic	0.05448952	279002397		
128			18S rRNA	Endogenous Control	15.248463	3.374983												Automatic			Automatic	0.118565686	279002397		
128			HDAC 4	Target	28.282251	2.4141216	13.033789			13.015239	0.055548362			-2.7985144	6.9572363	4.7476244	10.195234	Automatic			Automatic	0.05448952	279002397		
129			18S rRNA	Endogenous Control	15.0872345	3.4027176												Automatic			Automatic	0.118565686	279002397		
129			HDAC 4	Target	28.18806	2.4149435	13.100826			13.015239	0.055548362			-2.7985144	6.9572363	4.7476244	10.195234	Automatic			Automatic	0.05448952	279002397		
130			18S rRNA	Endogenous Control	15.369656	3.3221946												Automatic			Automatic	0.118565686	279002397		
130			HDAC 4	Target	28.280758	2.3746235	12.911102			13.015239	0.055548362			-2.7985144	6.9572363	4.7476244	10.195234	Automatic			Automatic	0.05448952	279002397		
131			18S rRNA	Endogenous Control	18.70408	3.1729362												Automatic			Automatic	0.118565686	279002397		
131			HDAC 4	Target	31.375694	1.8126209	12.671614			12.662965	0.15354785			-3.1507883	8.881408	3.0883794	25.540707	Automatic			Automatic	0.05448952	279002397		
132			18S rRNA	Endogenous Control	18.662458	3.2522883												Automatic			Automatic	0.118565686	279002397		
132			HDAC 4	Target	31.586946	1.6010964	12.924488			12.662965	0.15354785			-3.1507883	8.881408	3.0883794	25.540707	Automatic			Automatic	0.05448952	279002397		
133			18S rRNA	Endogenous Control	18.872345	3.1587174												Automatic			Automatic	0.118565686	279002397		
133			HDAC 4	Target	31.265139	1.7018281	12.392794			12.662965	0.15354785			-3.1507883	8.881408	3.0883794	25.540707	Automatic			Automatic	0.05448952	279002397		
134			18S rRNA	Endogenous Control	22.413015	2.9088893												Automatic			Automatic	0.118565686	279002397		
134			HDAC 4	Target	34.596115	0.81507295	12.1831			13.020045	0.8638329			-2.7937078	6.9340963	0.01820278	2641.4478	Automatic			Automatic	0.05448952	279002397		
135			18S rRNA	Endogenous Control	22.213099	2.895119												Automatic			Automatic	0.118565686	279002397		
135			HDAC 4	Target	36.960533	0.26532394	14.747435			13.020045	0.8638329			-2.7937078	6.9340963	0.01820278	2641.4478	Automatic			Automatic	0.05448952	279002397		
136			18S rRNA	Endogenous Control	22.316017	2.9269664												Automatic			Automatic	0.118565686	279002397		
136			HDAC 4	Target	34.445618	0.906096	12.129601			13.020045	0.8638329			-2.7937078	6.9340963	0.01820278	2641.4478	Automatic			Automatic	0.05448952	279002397		
137			18S rRNA	Endogenous Control	11.483165	3.2333167												Automatic			Automatic	0.118565686	279002397		
137			HDAC 4	Target	27.017817	2.5572913	15.534652			15.813753	0.14510977			0	1	0.36851832	2.7135694	Automatic			Automatic	0.05448952	279002397		
138			18S rRNA	Endogenous Control	11.326842	3.31576												Automatic			Automatic	0.118565686	279002397		
138			HDAC 4	Target	27.349049	2.5843086	16.022205			15.813753	0.14510977			0	1	0.36851832	2.7135694	Automatic			Automatic	0.05448952	279002397		
139			18S rRNA	Endogenous Control	11.349089	3.2898817												Automatic			Automatic	0.118565686	279002397		
139			HDAC 4	Target	27.23349	2.5985234	15.884401			15.813753	0.14510977			0	1	0.36851832	2.7135694	Automatic			Automatic	0.05448952	279002397		
140			18S rRNA	Endogenous Control	10.2107	3.5641916												Automatic			Automatic	0.118565686	279002397		
